Data,Dia Semana,Hora Inicio,Hora Fim,Nome,Id Funcionario,Bloqueio,Otimizacao
11/02/2022,Sexta,21:00:00,23:59:59,Funcionario 18,18,False,True
12/02/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,True
12/02/2022,Sábado,12:00:00,23:59:59,Funcionario 7,7,False,False
13/02/2022,Domingo,00:00:00,12:00:00,Funcionario 7,7,False,False
13/02/2022,Domingo,12:00:00,23:59:59,Funcionario 9,9,False,True
14/02/2022,Segunda,00:00:00,08:00:00,Funcionario 9,9,False,True
14/02/2022,Segunda,21:00:00,23:59:59,Funcionario 7,7,False,False
15/02/2022,Terça,00:00:00,08:00:00,Funcionario 7,7,False,False
15/02/2022,Terça,21:00:00,23:59:59,Funcionario 14,14,False,True
16/02/2022,Quarta,00:00:00,08:00:00,Funcionario 14,14,False,True
16/02/2022,Quarta,21:00:00,23:59:59,Funcionario 7,7,False,False
17/02/2022,Quinta,00:00:00,08:00:00,Funcionario 7,7,False,False
17/02/2022,Quinta,21:00:00,23:59:59,Funcionario 11,11,False,True
18/02/2022,Sexta,00:00:00,08:00:00,Funcionario 11,11,False,True
18/02/2022,Sexta,21:00:00,23:59:59,Funcionario 18,18,False,False
19/02/2022,Sábado,00:00:00,12:00:00,Funcionario 18,18,False,False
19/02/2022,Sábado,12:00:00,23:59:59,Funcionario 1,1,False,True
20/02/2022,Domingo,00:00:00,12:00:00,Funcionario 1,1,False,True
20/02/2022,Domingo,12:00:00,23:59:59,Funcionario 18,18,False,False
21/02/2022,Segunda,00:00:00,08:00:00,Funcionario 18,18,False,False
21/02/2022,Segunda,21:00:00,23:59:59,Funcionario 11,11,False,True
22/02/2022,Terça,00:00:00,08:00:00,Funcionario 11,11,False,True
22/02/2022,Terça,21:00:00,23:59:59,Funcionario 18,18,False,False
23/02/2022,Quarta,00:00:00,08:00:00,Funcionario 18,18,False,False
23/02/2022,Quarta,21:00:00,23:59:59,Funcionario 1,1,False,True
24/02/2022,Quinta,00:00:00,08:00:00,Funcionario 1,1,False,True
24/02/2022,Quinta,21:00:00,23:59:59,Funcionario 7,7,False,True
25/02/2022,Sexta,00:00:00,08:00:00,Funcionario 7,7,False,True
25/02/2022,Sexta,21:00:00,23:59:59,Funcionario 11,11,False,False
